CODE,DESCRIPTION,UNIT,FREQUENCY,SOURCE,DATASET,LAST_UPDATE,NEXT_RELEASE_DATE,DATA_TYPE,CATEGORY
JTMD.ETF.BAL.PROP.M,"ETF, Balance, Proprietary",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.BROKER.M,"ETF, Balance, Brokerage",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.TOT.M,"ETF, Balance, Total",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.INST.M,"ETF, Balance, Institutions",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.INDIV.M,"ETF, Balance, Individuals",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.FOR.M,"ETF, Balance, Foreigners",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.SECCOS.M,"ETF, Balance, Securities Cos.",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.INVTRUST.M,"ETF, Balance, Investment Trusts",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.BUSCORP.M,"ETF, Balance, Business Cos.",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.OTHINST.M,"ETF, Balance, Other Cos.",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.INSTFIN.M,"ETF, Balance, Financial Institutions",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.INS.M,"ETF, Balance, Life/Non-Life Insurance",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.BK.M,"ETF, Balance, Banks",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.BAL.OTHERFIN.M,"ETF, Balance, Other Financials",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.SAL.PROP.M,"ETF, Sales, Proprietary",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
JTMD.ETF.SAL.BROKER.M,"ETF, Sales, Brokerage",Thousand JPY,Monthly,Japan Exchange Group (JPX),JTMD,2025-08-13T10:48:33,,Numeric,Trading Statistics
